TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
280	Tactile	0.5	0.35	1.3	0.5	2.666667	1.684753
281	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6264648
282	VisualCatch	0.5	0.35	1.3	0.5	2.666667	null
283	Tactile	0.5	0.35	1.625	0.5	2.666667	2.130371
284	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.30896
285	Tactile	0.5	0.35	1.3	0.5	2.666667	1.712708
286	Visual	0.5	0.35	0.325	0.5	2.666667	null
287	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6265259
288	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336853
289	Visual	0.5	0.35	0.325	0.5	2.666667	null
290	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	1.002747
291	Visual	0.5	0.35	0.975	0.5	2.666667	null
292	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6966553
293	Tactile	0.5	0.35	1.95	0.5	2.666667	2.297119
294	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.949219
295	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.892456
296	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7108154
297	Tactile	0.5	0.35	0.975	0.5	2.666667	1.364502
298	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	0.388916
299	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.322998
300	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.587402
