TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
278,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6394653
279,Tactile,0.5,0.35,1.3,0.5,2.666667,1.61499
280,VisualCatch,0.5,0.35,0.975,0.5,2.666667,null
281,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9331055
282,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.879333
283,VisualCatch,0.5,0.35,1.3,0.5,2.666667,null
284,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.294922
285,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.279968
286,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.864929
287,VisualCatch,0.5,0.35,0.65,0.5,2.666667,null
288,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9048462
289,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6398926
290,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.920898
291,Tactile,0.5,0.35,0.325,0.5,2.666667,0.7800903
292,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.256226
293,Visual,0.5,0.35,1.95,0.5,2.666667,null
294,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266724
295,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6260376
296,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.254944
297,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9187012
298,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.879578
299,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.629272
300,Tactile,0.5,0.35,1.95,0.5,2.666667,2.422607
